(1)  2013MNRAS.428.1207S
TSTART           TSTOP              Freq         Flux            ErrFlux   Instrument Ref
 (mjd)           (mjd)              (GHz)        (uJy)           (uJy) 
--------------------------------------------------------------------------------------------
54209.05   54209.05   8.46   0    88   VLA (1)
54213.15   54213.15   8.46   0    116  VLA (1)
54213.95   54213.95   8.46   0    129  VLA (1)
54214.95   54214.95   8.46   0    139  VLA (1)
54215.95   54215.95   8.46   0    185  VLA (1)
54219.95   54219.95   8.46   480  102  VLA (1)
54225.35   54225.35   8.46   753  107  VLA (1)
54232.25   54232.25   8.46   804  100  VLA (1)
54237.05   54237.05   8.46   728  87   VLA (1)
54247.45   54247.45   8.46   1257 53   VLA (1)
54262.05   54262.05   8.46   1490 104  VLA (1)
54272.95   54272.95   8.46   1390 45   VLA (1)
54287.95   54287.95   8.46   1325 47   VLA (1)
54304.95   54304.95   8.46   1131 59   VLA (1)
54330.15   54330.15   8.46   957  64   VLA (1)
54350.15   54350.15   8.46   621  81   VLA (1)
54365.95   54365.95   8.46   316  57   VLA (1)
54396.05   54396.05   8.46   379  59   VLA (1)
54421.05   54421.05   8.46   404  62   VLA (1)
54457.05   54457.05   8.46   783  57   VLA (1)
54492.95   54492.95   8.46   1669 90   VLA (1)
54520.95   54520.95   8.46   2097 73   VLA (1)
54574.95   54574.95   8.46   2200 59   VLA (1)
54592.95   54592.95   8.46   2852 58   VLA (1)
54626.05   54626.05   8.46   3344 81   VLA (1)
54773.05   54773.05   8.46   3897 78   VLA (1)
54829.95   54829.95   8.46   3891 78   VLA (1)
54926.95   54926.95   8.46   3842 69   VLA (1)
54981.95   54981.95   8.46   3641 79   VLA (1)
55069.95   55069.95   8.46   3408 109  VLA (1)
