(1)  2016ApJ...821..119C
TSTART           TSTOP              Freq         Flux            ErrFlux   Instrument Ref
 (mjd)           (mjd)              (GHz)        (uJy)           (uJy) 
--------------------------------------------------------------------------------------------
56005.5   56005.5    5.0   4.596   0.025 JVLA (1)
56005.5   56005.5    6.75  7.294   0.019 JVLA (1)
56009.5   56009.5    4.55  5.658   0.036 JVLA (1)
56009.5   56009.5    7.45  10.113  0.020 JVLA (1)
56009.5   56009.5    13.3  9.709   0.049 JVLA (1)
56009.5   56009.5    16.0  8.408   0.058 JVLA (1)
56009.5   56009.5    29.0  3.778   0.072 JVLA (1)
56009.5   56009.5    37.0  2.772   0.098 JVLA (1)
56040     56040      2.5   7.900   0.142 JVLA (1)
56040     56040      3.5   9.886   0.053 JVLA (1)
56040     56040      4.55  9.569   0.052 JVLA (1)
56040     56040      7.45  6.630   0.024 JVLA (1)
56040     56040      13.3  3.446   0.040 JVLA (1)
56040     56040      16.0  2.843   0.034 JVLA (1)
56068     56068      13.8  1.816   0.172 JVLA (1)
56101     56101      13.8  0.951   0.046 JVLA (1)
